Tab audit,URL,Status azi (11.09.2026),Actiune
Erori Product (image),https://www.alessandrodesign.ro/products/joc-de-societate-chinezesc-148-piese-lemn,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/jucarie-educativa-tip-casuta-multifunctionala-lemn,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/cutit-ondulat-cu-maner-metal-albastru-rosu-negru-verde-rosu,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/joc-sortare-culori-clasificare-si-numarat-dinozaurii-48-piese,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/cutia-permanentei-cu-bila-joc-montessori-lemn-pastel,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/set-montessori-jucarii-educative-forme-si-incuietori-6-cutii,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/carte-magnetica-joc-educativ-anatomia-corpului-uman-fetita,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/joc-cu-24-seturi-puzzle-din-lemn-asocieri-animale-si-modele-memo-game,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/joc-interactiv-tort-de-aniversare-cu-capsuni-rosu-14-piese,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/jucarie-educativa-montessori-casuta-cu-surprize-6-piese-multicolor-lemn-metal-si-plastic,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/cuburi-turn-set-8-cuburi-din-lemn-cu-planete,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/forma-cozonac-30-15-10-cm-metal-gri,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/set-4-cutite-cu-suport-plastic-si-ceramica-albastru-mov-rosu-albastru,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/manusa-termorezistenta-marime-universala-silicon-rosu-portocaliu-verde-portocaliu,produs sters (404),nimic - dispare din GSC la recrawl
Erori Product (image),https://www.alessandrodesign.ro/products/trenulet-din-lemn-cu-litere-alfabetul-magnetic-alphabet-car,produs sters (404),nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/plafoniera-led-anitta-48w-alb-lumina-rece-calda-neutra,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-200w-maro-betty-8-cercuri-dimabila-lumina-rece-calda-neutra,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/casuta-de-papusi-puzzle-cafenea-multicolora-plastic,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/set-mobilier-baie-alb-pvc-t356-80,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-cu-senzor-alama-sanitara-gri-rw-190gr,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/instalatie-exterior-100-leduri-5m-led-cilindric-fir-verde-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-ipomoea-69w-5-stele-lumina-rece-calda-neutra-dimabila-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/tub-led-t8-9w-60-cm-6400k,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/coloana-dus-korman-technik-afisaj-lcd-inox-alb-argintiu-sjg-009,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/brad-artificial-120-cm-verde-cu-alb,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-neuschwanstein-eleganza-7xe14-diametru-49cm-auriu-inaltime-reglabila,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/joc-tip-puzzle-curcubeul-magic-multicolor-8-piese-lemn,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-peru-cu-telecomana-150w-auriu-acril-dimabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/joc-tip-puzzle-constructia-pieselor-multicolore-120-piese-abs,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lampa-led-liniara-layne-60w-120cm-lumina-rece-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/planta-artificiala-dracaena-fragrans-fara-ghiveci-140cm-verde,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-roya-180w-dimabila-maro,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-indiana-8-e27-metal-si-franghie-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/instalatie-180-leduri-8-m-fir-negru-multicolor,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/aplica-led-de-exterior-harera-12w-metal-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-rectangulara-160x80cm-verite-motionglow-marcello-sistem-dezaburire-termometru-ceas-dimabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/set-mobilier-pentru-baie-60x47cm-3-piese-gri,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/plafoniera-led-cu-senzor-de-miscare-reglabil-12w-4100k-alb,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/bec-led-filament-a60-e27-10w-100w-4000k,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/aplica-led-reid-20w-ondulata-lumina-rece-calda-neutra-metal-si-silicon-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/spot-perete-scara-2w-18w-6400k-lumina-rece,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/trepied-telescopic-pentru-1-proiector-162-cm,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-cristal-martinez-linear-luxe-diametru-35cm-4x-e14-auriu-lucios,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/sina-aplicata-pentru-proiectoare-magnetice-1m-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-bucatarie-alama-sanitara-auriu-od-2046,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-jermija-8x-e27-auriu-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/suport-para-dus-inox-sus304-satinat-pj-016,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-bianca-99w-negru-cu-telecomanda,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-neo-6x-e27-negru-auriu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/plafoniera-led-mohamad-48w-auriu-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/panou-artificial-100x100cm-verde,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/suport-hartie-igienica-argintiu-gj633,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-rotunda-60cm-orbis-touch-sistem-dezaburire-dimabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-rotunda-60-visio-motionglow-marcello-lupa-cosmetica-sistem-dezaburire-termometru-ceas-dimabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cristal-cu-telecomanda-timotei-30w-dimabila-argintiu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-senzor-motionglow-venezia-cu-functie-dezaburire-termometru-ceas-60x80-cm-lumina-rece-calda-neutra-dimabila-colectia-marcello-funghi,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-cu-proiector-2xgu10-eirini-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/bec-led-e27-2w-portocaliu,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-alama-sanitara-alb-od-2058,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-vector-helix-108w-metalic-negru-telecomanda-lumina-rece-calda-neutra,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-traditionala-2-e27-maro-metal-si-sfoara,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-senzor-revin-sistem-dezaburire-ceas-temperatura-rama-aurie-60x80-cm-colectia-marcello-funghi,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-stephen-8x-g9-auriu,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-senzor-motionglow-altera-cu-functie-dezaburire-termometru-ceas-ovala-80x60-cm-lumina-rece-calda-neutra-dimabila-colectia-marcello-funghi,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/suport-metalic-pentru-ustensile-de-bucatarie-satinat-metal,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/brad-craciun-artifical-verde-1-5m-impodobit-globuri-conuri-instalatie-si-beteala,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-alama-sanitara-auriu-wzy-325-b,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-suspendata-74w-avion-alb-gri,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-niko-8x-e27-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-gelius-minimalist-48w-lumina-rece-calda-neutra-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-aliaj-si-sticla-crom-lumina-rgb-schimbare-de-culoare-in-functie-de-temperatura-apei-od3013,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/pompa-submersibila-de-adancime-ddt-1500w-8-turbine-7-mc-h-25m-cablu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/chiuveta-bucatarie-inox-korman-technik-60x45-cm-gri-inchis,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/aplica-atlantis-exterior-2w-negru-3000k,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-susan-77w-4-patrate-lumina-rece-calda-neutra-dimabila-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/aplica-led-exterior-celsis-6w-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-72w-galios-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-masha-cu-telecomanda-80w-acril-si-metal-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-rectangulara-120x80-verite-royale-gold-motionglow-marcello-sistem-dezaburire-termometru-ceas-dimabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-schonbrunn-12x-g9-diametru-60cm-auriu-lucios-stil-impunator,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-blossom-43w-3-petale-lumina-rece-calda-neutra-dimabila-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-touch-umbria-sistem-dezaburire-70x50-cm-colectia-korman-technik,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/aplica-exterior-valeria-2-gu10-negru-metal-si-sticla,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-vertex-grid-patrate-paralele-50w-4-patrate-lumina-rece-calda-neutra-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-prism-luminis-58w-cristal-si-metal-dimabila-inaltime-reglabila-lumina-rece-calda-neutra-iluminat-luxos,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-aethra-1x-e27-metal-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/suport-feon-si-accesorii-baie-metalic-gri,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-boden-5x-e27-auriu,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/set-jucarii-din-plastic-printesa-si-pisicuta-plastic-9-piese,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-alama-sanitara-negru-od-2024,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/pendul-anthony-1x-e27-maro-negru,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/pendul-led-hal-24w-2-4ghz-dimabila-metal-negru-si-auriu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-44w-auriu-betty-4-cercuri-dimabila-lumina-rece-calda-neutra,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-cu-pipa-rotativa-crom-cp107,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/set-10xtapet-3d-autoadeziv-caramizi-gri-din-spuma-moale-77cm-x-70cm-x-6mm,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cristal-57w-xanthi-argintiu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/cires-artificial-fara-ghiveci-180cm-roz,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-versailles-nobile-4xe14-diametru-40cm-auriu-lucios-si-negru-inaltime-reglabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/veioza-sophias-1x-e27-auriu,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-senzor-motionglow-micah-rotunda-diametru-60-cm-lumina-rece-calda-neutra-dimabila-sistem-dezaburire-termometru-ceas-si-lupa-cosmetica-rama-negru-periat-cu-curea-piele-ecologica,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-rectangulara-60x80cm-frame-basic-touch,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-azariah-112w-dimabila-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cristal-cassian-80w-dimabila-diametru-50cm-argintiu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-vertex-grid-patrate-paralele-33w-2-patrate-lumina-rece-calda-neutra-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-lavoar-alama-sanitara-alb-od-2069,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-suspendata-cu-telecomanda-wave-105w-inaltime-reglabila-lumina-rece-calda-neutra-dimabila-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/plafoniera-led-cotena-60w-alb-ip-20-rotunda,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/set-10xtapet-3d-autoadeziv-din-spuma-moale-70cmx70cmx2mm-alb,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-mornika-14w-lumina-neutra-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/spot-led-5w-rotund-6000k-lumina-mov,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/spot-led-6w-lumina-rece-calda-neutra,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-astronaut-albastru-89w,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-kathleen-15w-lumina-calda-neutra-rgb-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/intrerupator-touch-simplu-gri-sticla-securizata-livolo,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/pendul-bambusa-2x-e27-bambus-si-franghie-maro,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-bucatarie-inox-sus304-satinat-cf014,activ,rezolvat din tema (shippingDetails + hasMerchantReturnPolicy)
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/oglinda-led-rectangulara-60x80-precision-motionglow-marcello-lupa-cosmetica-sistem-dezaburire-termometru-ceas-dimabila,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-ianusis-96w-dimabila-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/proiector-liniar-led-exterior-rgb-alethea-24w-argintiu,produs archived,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-etan-cu-telecomanda-66w-argintiu,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/cub-rubik-3x3-my-18,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-blaze-6x-e14-negru,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-akihiro-6-e27-alb-metal-si-cristal,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/proiector-led-cu-senzor-de-miscare-20w-negru-6400k,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-solena-rotonda-alb-negru-13w-lumina-rece-calda-neutra,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/lustra-led-cu-telecomanda-sakura-60w-5-petale-lumina-rece-calda-neutra-dimabila-alb,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/candelabru-cristal-nelson-7x-e27-argintiu,produs draft,nimic - nu e publicat
hasMerchantReturnPolicy / shippingDetails,https://www.alessandrodesign.ro/products/baterie-bucatarie-monocomanda-pipa-pivotanta-cartus-ceramic-inox-negru-satin-racorduri-kit-fixare-incluse-hs001,nu mai exista la acest URL,nimic - dispare din GSC la recrawl
